"taxon_name","taxon_name_original","taxname_source","entity_type_tax","taxon_family","life_stage_generic","life_stage_taxon_specific","caste","sex","trait_name","entity_type","value_type","unit_numeric","value","replicates","measurement_remarks","method_number","observation_number","methods","site_name","site_latitude","site_longitude","site_date_of_visit","site_description","site_fire_impact","collection_date","associated_plant_taxa","plant_relation_description","associated_fauna_taxa","associated_fauna_taxa_synonyms","fauna_relation_description","taxname_issues_description","context","source_key","source_doi","source_citation","source_type","secondary_citation"
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Fragment","species",NA,NA,"0.139971422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Mercury","species",NA,NA,"0.196757146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Pesticide","species",NA,NA,"0.17468571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Sed","species",NA,NA,"0.433414287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Cropland","species",NA,NA,"0.37761429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Livestock","species",NA,NA,"0.12647143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","HPD","species",NA,NA,"35.19148936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides betsileoensis",NA,"AFD","species","Parastacidae","all",NA,NA,"all","microhabitat_shelter","species",NA,NA,"1",NA,NA,NA,NA,"I followed Adamowicz & Purvis (2006) and assigned species to four habitat types: (1) streams and rivers, (2) lakes and wetlands, (3) burrows, and (4) caves. I used data from Adamowicz & Purvis (2006) for 490 species, and used IUCN assessments (IUCN 2010), field guides and species descriptions to classify the remaining species. “Strong burrowers” in the Australian scheme of Riek (1972) were also placed in “burrows”, while weak or moderate burrowers were placed in categories “streams and rivers” or “lakes and wetlands” according to other habitat information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides caldwelli",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","occipital_carapace_length","species","maximum","mm","79.1",NA,NA,NA,NA,"I collected maximum body size (mm) from species descriptions, field guides and museum specimens (references available on request). I used maximum body size as mean body size is generally not available for crayfish species. I found three measures of crayfish body size: occipital carapace length (OCL), carapace length (CL), and body length (BL). I used CL as the preferred measure of body size as it was available for most species (397 species). For species for which maximum CL was missing, I preferentially transformed OCL values, as crayfish BL is a more variable measure of crayfish body size than OCL. I corrected OCL into CL for 53 species and BL into CL for 79 species. I developed correction factors between OCL and CL, and BL and CL from a database of morphological measurements of 1,743 specimens. These measurements were obtained from species descriptions, museum plates, museum specimens and field specimens (references available on request). I used species-specific correction factors when available, if not I used genus-specific correction factors (29 species).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides caldwelli",NA,"AFD","species","Parastacidae","all",NA,NA,"all","fecundity_per_reproductive_event","species","maximum","offspring",NA,NA,NA,NA,NA,"Maximum number of eggs taken from species descriptions, field guides and museum specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
